Well No.,Company,Well Name,Latitude,Longitude,KBm,GLm,TD(ft),TD(m),TVD
228,Gulf et al.,Ikhil K-35,"68° 44' 43.68""N","134° 09' 16.07""W",156.3,151.5,,1540.0,1539.9
229,Esso et al.,Wagnark L-36,"69° 15' 43.5""N","133° 24' 53.9""W",22.4,17.9,,2609.0,2604.7
230,Esso et al.,Nuna E-40,"69° 09' 15.80""N","133° 24' 44.0""W",32.7,27.8,,1625.0,1624.3
231,Gulf et al.,Amauligak I-65B,"70° 04' 39.7""N","133° 48' 16.4""W",22.9,,,5402.0,3917.0
232,Esso et al.,Atertak L-31 (K-31),"69° 30' 34.4""N","132° 39' 07.4""W",30.5,23.3,,3134.0,3131.5
233,Esso et al.,Arnak K-06,"69° 45' 40.4""N","133° 46' 20.5""W",12.6,,,4645.0,4643.7
234,Shell et al.,Unak L-28,"68° 47' 38.90""N","135° 22' 06.17""W",14.0,1.2,,3259.0,3223.9
235,Esso et al.,Kaubvik I-43,"69° 52' 33""N","135° 25' 21.1""W",13.4,,,3323.0,3279.0
236,Esso et al.,Angasak L-03,"70° 12' 44.1""N","129° 32' 50.4""W",13.0,,,2334.0,2322.5
237,Gulf et al.,Amauligak F-24,"70° 03' 17.3""N","133° 37' 48.4""AW",26.6,,,5260.0,3794.0
238,Gulf et al.,Amauligak 2F-24,"70° 03' 17.2""N","133° 37' 49.5""W",26.6,,,4260.0,2898.4
239,Gulf et al.,Amauligak 2F-24A,"70° 03' 17.2""N","133° 37' 49.5""W",26.6,,,3760.0,3145.0
240,Gulf et al.,Amauligak 2F-24B,"70° 03' 17.4""N","133° 37' 49.1"" W",26.6,,,4577.0,3761.0
241,Gulf et al.,Amauligak O-86,"70° 05' 48.4""N","133° 55' 26"" W",20.0,,,3910.0,3909.3
242,Esso et al.,Nipterk P-32,"69° 41' 46.9""N","135° 22' 44.5"" W",10.9,,,2136.0,2134.0
243,Gulf et al.,Immiugak N-05,"69° 44' 53.4""N","137° 01' 20.8""W",20.0,,,397.0,397.0
244,Gulf et al.,Immiugak A-06,"69° 45' 01.70""N","137° 00' 19.30"" W",20.0,,,3802.0,3537.3
245,Amoco et al.,Kingark J-54,"69° 43' 44.25""N","137° 28' 14.9"" W",12.0,,,2247.0,2245.5
246,Esso et al.,Isserk I-15,"69° 54' 44.5""N","134° 17' 57.20"" W",26.6,,,2693.0,2601.1
247,Shell et al.,Unipkat N-12,"69° 11' 52.5""N","135° 19' 03.75""W",8.3,1.8,,1614.0,1613.7
248,Esso et al.,Tuk E-20,"69° 19' 18.7""N","133° 04' 59.9""W",18.6,8,,3173.0,3172.1
249,Shell,Unipkat B-12,"69° 11' 00.8""N","135° 18' 25""W",8.9,3.3,,1186.0,1185.9
250,Shell,Shavilig J-20,"69° 09' 38.45""N","135° 18' 11.87""W",9.2,2.72,,1373.5,1373.2
251,JAPEX/JNOC/GSC,Mallik 2L-38,"69° 27' 40.7""N","134° 39' 30.4""W",8.4,1.4,,1150,1150
252,IPC,Ikhil J-35,"69° 44' 35.6""N","134° 08' 34.9""W",159.1,154,,1160,1160
253,IPC,Ikhil N-26,"68° 45' 55.2""N","134° 06' 37.2""W",165.4,160.8,,1225,
254,PC ANDERSON,Kurk M-15,"69° 04' 51.3""N","135° 19' 23.7""W",10.8,1.4,,3093,3093
255,JAPEX/JNOC/GSC,Mallik 3L-38,"69° 27' 38.3""N","134° 39' 41.6""W",5,1,,1188,1188
256,JAPEX/JNOC/GSC,Mallik 4L-38,"69° 27' 40.8""N","134° 39' 34.9""W",5,1,,1188,1188
257,JAPEX/JNOC/GSC,Mallik 5L-38,"69° 27' 39.5""N","134° 39' 38.3""W",5,1,,1166,
258,DEVON PC,Tuk M-18,"69° 17' 50.6""N","133° 04' 34.6""W",24,13.9,,2966,2933.7
259,DEVON PC,Tuk B-02,"69° 21' 11.3""N","133° 00' 57.6""W",19.8,10,,3187,3171
260,PC DEVON,Kugpik L-46,"68° 55' 41.5""N","135° 27' 12.9""W",13.4,4,,3014,
261,PC DEVON,Nuna I-30,"69° 09' 34.5""N","133° 20' 09.0""W",41.7,32,,3250,3164
262,DEVON ET AL,Itiginkpak F-29,"68° 28' 18.3""N","134° 36' 31.8"" W",9.5,3.8,,2000,1753.6
263,CHEVRON ET AL,Langley K-30,"69° 19' 30.5""N","135° 36' 39.3""W",2.4,7.7,,1390,1322
