WID,Consortium,Current Owner,Land Owner,Well Name,UWI,Class,Status,Latitude (NAD83) -Well Post,Longitude (NAD83) -Well Post,Region,Original Spud Date,Original Rig Release Date,Depth (m),Notes
933,SHELL NIGLINTGAK M-19,Shell,Territorial,NIGLINTGAK M-19,300M196920135150,Delineation Well,Suspended,"69° 18' 48.7""","135° 19' 36.0""",NWT Mackenzie Delta Onshore,01-Jun-74,20-Jan-75,,
2058,MGM ET AL NORTH ELLICE J-17,MGM Energy Corp.,Territorial,NORTH ELLICE J-17,300J176920135450,Exploratory Well,Suspended,"69° 16' 30.4""","135° 48' 18.8""",NWT Mackenzie Delta Onshore,02-Feb-09,23-Feb-09,,
1010,SOBC CAN SUP ET AL NORTH ELLICE J-23,Chevron,Territorial,NORTH ELLICE J-23,300J236920135450,Exploratory Well,Suspended,"69° 12' 33.6""","135° 51' 23.9""",NWT Mackenzie Delta Onshore,22-Oct-75,15-Mar-76,,
764,IMP,Imperial,Territorial,NUKTAK C-22,300C226950134450,Exploratory,Plug and abandoned,"69° 41' 31.7""","134° 51' 50.0""",NWT Mackenzie Delta Onshore,16-Dec-72,8-Mar-73,3856.6,
1350,ESSO PCI HOME ET AL NUNA A-10,Imperial,ILA,NUNA A-10,300A106910133150,Exploratory Well,Abandoned,"69° 9' 0.2""","133° 15' 14.1""",NWT Mackenzie Delta Onshore,21-Dec-83,04-Feb-84,,
891,IMP NUNA A-32,Imperial,Territorial,NUNA A-32,300A326910133150,Exploratory Well,Abandoned,"69° 1' 13.8""","133° 22' 43.8""",NWT Mackenzie Delta Onshore,28-Dec-73,18-Mar-74,,
1611,ESSO HOME ET AL NUNA E-40,Imperial,Territorial,NUNA E-40 (D-40),300E406910133150,Exploratory Well,Abandoned,"69° 9' 15.6""","133° 24' 53.8""",NWT Mackenzie Delta Onshore,14-Mar-86,31-Mar-86,,
1977,SUNCOR DEVON NUNA I-30,Suncor,ILA,NUNA I-30,300I306910133150,Exploratory Well,Suspended,"69° 9' 34.3""","133° 20' 18.8""",NWT Mackenzie Delta Onshore,07-Feb-03,21-Apr-03,,
519,IOE NUVORAK O-09,Imperial,Territorial,NUVORAK O-09,300O097000130300,Exploratory Well,Abandoned,"69° 58' 55.2""","130° 31' 5.8""",NWT Mackenzie Delta Onshore,12-Mar-70,14-Apr-70,,
981,GULF-MOBIL OGEOQEOQ J-06,ConocoPhillips,Territorial,OGEOQEOQ J-06,300J066850133450,Exploratory Well,Abandoned,"68° 45' 41.7""","133° 46' 9.5""",NWT Mackenzie Delta Onshore,21-Feb-75,13-Mar-75,,
1072,GULF MOBIL OGRUKNANG M-31,ConocoPhillips,ILA,OGRUKNANG M-31,300M316900134150,Exploratory Well,Abandoned,"68° 50' 51.8""","134° 25' 0.1""",NWT Mackenzie Delta Onshore,18-Apr-77,01-Aug-77,,
536,GULF ONIGAT C-38,ConocoPhillips,Territorial,ONIGAT C-38,300C386850133300,Exploratory Well,Abandoned,"68° 47' 9.7""","133° 39' 24.6""",NWT Mackenzie Delta Onshore,02-May-70,25-Jun-70,,
1483,GULF ET AL ONIGAT D-52,ConocoPhillips,Territorial,ONIGAT D-52,300D526850133300,Exploratory Well,Abandoned,"68° 41' 0.5""","133° 44' 33.4""",NWT Mackenzie Delta Onshore,23-Jan-85,12-Feb-85,,
1592,GULF ET AL ONIGAT K-49,ConocoPhillips,Territorial,ONIGAT K-49,300K496850133300,Exploratory Well,Abandoned,"68° 48' 40.0""","133° 41' 56.4""",NWT Mackenzie Delta Onshore,02-Feb-86,16-Feb-86,,
775,DEMINEX CGDC FOC AMOCO ORKSUT I-44,Deminex,ILA,ORKSUT I-44,300I447230122300,Exploratory Well,Abandoned,"72° 23' 46.3""","122° 42' 19.3""",NWT Arctic Islands Onshore,01-Jan-73,28-Mar-73,,
1113,CHEVRON ET AL PARKER RIVER J-72,Chevron,Territorial,PARKER RIVER J-72,300J727340115300,Exploratory Well,Abandoned,"73° 31' 44.2""","115° 52' 34.1""",NWT Arctic Islands Onshore,13-Jan-79,01-Jun-79,,
992,GULF MOBIL PARSONS A-44,ConocoPhillips,Territorial,PARSONS A-44,300A446900133300,Delineation Well,Abandoned,"68° 53' 4.8""","133° 40' 45.6""",NWT Mackenzie Delta Onshore,09-Apr-75,29-Jul-75,,
1032,GULF MOBIL PARSONS D-20,ConocoPhillips,Territorial,PARSONS D-20,300D206900133300,Delineation Well,Other,"68° 59' 9.1""","133° 34' 34.5""",NWT Mackenzie Delta Onshore,21-Apr-76,22-Nov-76,,
1570,GULF ET AL PARSONS E-02,ConocoPhillips,Territorial,PARSONS E-02,300E026900133300,Exploratory Well,Abandoned,"68° 51' 15.5""","133° 32' 19.9""",NWT Mackenzie Delta Onshore,21-Dec-85,23-Jan-86,,
671,GULF MOBIL PARSONS F-09,ConocoPhillips,Territorial,PARSONS F-09,300F096900133300,Exploratory Well,Suspended,"68° 58' 27.9""","133° 31' 55.3""",NWT Mackenzie Delta Onshore,20-Dec-71,19-Apr-72,,
1057,GULF MOBIL PARSONS L-37,ConocoPhillips,Territorial,PARSONS L-37,300L376900133300,Delineation Well,Other,"68° 56' 42.5""","133° 40' 4.4""",NWT Mackenzie Delta Onshore,26-Dec-76,02-Apr-77,,
1016,GULF MOBIL PARSONS L-43,ConocoPhillips,Territorial,PARSONS L-43,300L436900133300,Delineation Well,Other,"68° 52' 38.5""","133° 42' 5.8""",NWT Mackenzie Delta Onshore,10-Dec-75,04-Mar-76,,
800,GULF MOBIL PARSONS N-10,ConocoPhillips,Territorial,PARSONS N-10,300N106900133300,Delineation Well,Other,"68° 59' 48.3""","133° 31' 59.7""",NWT Mackenzie Delta Onshore,24-Feb-73,29-May-73,,
1017,GULF MOBIL PARSONS N-17,ConocoPhillips,Territorial,PARSONS N-17,300N176900133300,Delineation Well,Other,"68° 56' 52.8""","133° 34' 8.7""",NWT Mackenzie Delta Onshore,18-Dec-75,13-Apr-76,,
917,GULF MOBIL PARSONS O-27,ConocoPhillips,Territorial,PARSONS O-27,300O276900133300,Delineation Well,Suspended,"68° 56' 52.8""","133° 36' 5.7""",NWT Mackenzie Delta Onshore,23-Mar-74,30-Aug-74,,
1058,GULF MOBIL PARSONS P-41,ConocoPhillips,Territorial,PARSONS P-41,300P416900133300,Exploratory Well,Other,"68° 50' 50.6""","133° 40' 37.9""",NWT Mackenzie Delta Onshore,29-Dec-76,05-Apr-77,,
889,GULF MOBIL PARSONS P-53,ConocoPhillips,Territorial,PARSONS P-53,300P536900133300,Exploratory Well,Abandoned,"68° 52' 49.1""","133° 43' 6.9""",NWT Mackenzie Delta Onshore,22-Dec-73,09-Apr-74,,
955,SUNCOR ET AL PEDDER POINT D-49,Suncor,Territorial,PEDDER POINT D-49,300D497540118300,Exploratory Well,Abandoned,"75° 38' 11.3""","118° 48' 27.1""",NWT Arctic Islands Onshore,12-Oct-74,10-Nov-74,,
666,IMP IOE PIKIOLIK E-54,Imperial,ILA,PIKIOLIK E-54,300E546930132300,Exploratory Well,Abandoned,"69° 23' 14.9""","132° 44' 44.8""",NWT Mackenzie Delta Onshore,11-Dec-71,15-Feb-72,3118,
1274,ESSO PEX HOME ET AL PIKIOLIK G-21,Imperial,ILA,PIKIOLIK G-21,300G216930132300,Exploratory Well,Abandoned,"69° 20' 23.3""","132° 35' 53.4""",NWT Mackenzie Delta Onshore,16-Feb-83,24-Mar-83,1429.6,
672,IMP IOE PIKIOLIK M-26,Imperial,ILA,PIKIOLIK M-26,300M266930132300,Exploratory Well,Suspended,"69° 25' 54.9""","132° 37' 35.8""",NWT Mackenzie Delta Onshore,22-Dec-71,07-Feb-72,1984,
982,GULF MOBIL DOME RED FOX P-21,Uncertain,Territorial,RED FOX P-21,300P216920133300,Exploratory Well,Abandoned,"69° 10' 47.9""","133° 35' 10.9""",NWT Mackenzie Delta Onshore,23-Feb-75,03-Jun-75,,Ownership under review by ConocoPhillips.
888,GULF IMP SHELL REINDEER A-41,ConocoPhillips,ILA,REINDEER A-41,300A416910134300,Delineation Well,Abandoned,"69° 0' 11.7""","134° 40' 28.7""",NWT Mackenzie Delta Onshore,22-Dec-73,07-Feb-74,,
814,GULF IMP SHELL REINDEER C-36,Uncertain,ILA,REINDEER C-36 (F-36),300C366910134300,Exploratory Well,Suspended,"69° 5' 9.6""","134° 39' 24.7""",NWT Mackenzie Delta Onshore,13-Mar-73,05-Jun-73,,Sold to Shell by ConocoPhillips. Shell would not confirm.
275,B.A. SHELL IOE REINDEER D-27,Uncertain,ILA,REINDEER D-27,300D276910134300,Exploratory Well,Abandoned,"69° 6' 4.7""","134° 37' 3.7""",NWT Mackenzie Delta Onshore,08-Jul-65,05-Jan-66,,Ownership under review by ConocoPhillips. Shell or ConocoPhillips.
770,PACIFIC IMP ET AL,Imperial,Y.T. ILA,ROLAND BAY Y.T. L-41,300L416930138450,Exploratory,Plug and abandoned,"69° 20' 30.8""","138° 56' 55.0""",Yukon Onshore,22-Dec-72,20-Apr-73,2752.3,
906,IMP CIGOL RUSSELL H-23,Imperial,Territorial,RUSSELL H-23,300H237010130000,Exploratory Well,Abandoned,"70° 2' 18.2""","130° 6' 37.9""",NWT Mackenzie Delta Onshore,17-Feb-74,01-Apr-74,,
1011,SUNCOR ET AL SABINE BAY A-07,Suncor,,SABINE BAY A-07,300A077530110000,Exploratory Well,Abandoned,"75° 26' 8.5""","110° 0' 58.0""",NWT Arctic Islands Onshore,23-Oct-75,24-Feb-76,,
1066,MOBIL GULF SADENE D-02,Uncertain,ILA,SADENE D-02,300D026900126450,Exploratory Well,Abandoned,"68° 51' 1.6""","126° 47' 23.6""",NWT Mainland,08-Mar-77,06-May-77,,Mobil operates as indicated by Conoco. IOL indicates they do not own this well.
462,SUNCOR SANDY POINT L-46,Suncor,Territorial,SANDY POINT L-46,300L467630115000,Exploratory Well,Abandoned,"76° 25' 41.0""","115° 18' 24.7""",NWT Arctic Islands Onshore,09-May-69,02-Aug-69,,
651,BP ET AL PANARCTIC SATELLITE F-68,Repsol Oil and Gas Canada Inc.,Territorial,SATELLITE F-68,300F687720116300,Exploratory Well,Abandoned,"77° 17' 29.6""","116° 55' 21.7""",NWT Arctic Islands Onshore,17-Sep-71,02-May-72,,
1493,GULF ET AL SHAKGATLATACHIG D-50,ConocoPhillips,ILA,SHAKGATLATACHIG D-50,300D506840133450,Exploratory Well,Abandoned,"68° 39' 6.9""","133° 57' 17.7""",NWT Mackenzie Delta Onshore,21-Feb-85,22-Mar-85,,
1777,SHELL SHAVILIG J-20,Shell,Territorial,SHAVILIG J-20,300J206910135150,Exploratory Well,Abandoned,"69° 9' 38.1""","135° 18' 21.7""",NWT Mackenzie Delta Onshore,18-Feb-92,16-Mar-92,,
523,GULF SHOLOKPAOQAK P-60,ConocoPhillips,Territorial,SHOLOKPAOQAK P-60,300P606840133300,Exploratory Well,Abandoned,"68° 39' 44.7""","133° 43' 9.4""",NWT Mackenzie Delta Onshore,17-Mar-70,23-Apr-70,,
1031,GULF MOBIL SIKU A-12,ConocoPhillips,Territorial,SIKU A-12,300A126910133300,Delineation Well,Other,"69° 1' 0.1""","133° 32' 41.3""",NWT Mackenzie Delta Onshore,14-Apr-76,26-Jul-76,,
1019,GULF MOBIL SIKU C-11,ConocoPhillips,Territorial,SIKU C-11,300C116910133300,Delineation Well,Other,"69° 0' 4.7""","133° 33' 59.7""",NWT Mackenzie Delta Onshore,26-Dec-75,22-Mar-76,,
730,GULF MOBIL SIKU C-55,ConocoPhillips,Territorial,SIKU C-55,300C556910133300,Exploratory Well,Abandoned,"69° 4' 3.8""","133° 44' 7.7""",NWT Mackenzie Delta Onshore,02-May-72,08-Nov-72,,
1071,GULF MOBIL SIKU E-21,ConocoPhillips,Territorial,SIKU E-21,300E216910133300,Delineation Well,Other,"69° 0' 29.1""","133° 37' 4.7""",NWT Mackenzie Delta Onshore,17-Apr-77,21-Jun-77,,
943,SMOKING HILLS A-23,Uncertain,ILA,SMOKING HILLS A-23,300A236930126150,Exploratory Well,Abandoned,"69° 22' 6.7""","126° 20' 39.0""",NWT Mainland,04-Aug-74,22-Aug-74,,BP or Suncor
585,IOE,Imperial,Y.T. ILA,SPRING RIVER YT N-58,300N586910138300,Exploratory,Plug and abandoned,"69° 7' 53.0""","138° 44' 4.9""",Yukon Onshore,7-Jan-71,18-Mar-71,2136.3,
654,ELF ET AL STORKERSON BAY A-15,Husky,ILA,STORKERSON BAY A-15,300A157300124300,Exploratory Well,Abandoned,"72° 54' 1.6""","124° 33' 40.1""",NWT Arctic Islands Onshore,23-Oct-71,10-Dec-71,,
727,IOE TAGLU C-42,Imperial,Territorial,TAGLU C-42,300C426930134450,Delineation Well,Suspended,"69° 21' 4.7""","134° 57' 0.0""",NWT Mackenzie Delta Onshore,30-Apr-72,18-Nov-72,4895,
819,IOE TAGLU D-43,Imperial,Territorial,TAGLU D-43,300D436930134450,Delineation Well,Suspended,"69° 22' 13.6""","134° 57' 10.4""",NWT Mackenzie Delta Onshore,23-Mar-73,11-Sep-73,4555,
715,IOE TAGLU D-55,Imperial,Territorial,TAGLU D-55,300D556930134450,Exploratory Well,Abandoned,"69° 24' 13.7""","134° 59' 44.0""",NWT Mackenzie Delta Onshore,06-Apr-72,21-Aug-72,,
622,ESSO TAGLU G-33,Imperial,Territorial,TAGLU G-33,300G336930134450,Exploratory Well,Suspended,"69° 22' 17.7""","134° 53' 46.7""",NWT Mackenzie Delta Onshore,13-Apr-71,18-Aug-71,2994,
1054,IOE TAGLU H-54,Imperial,Territorial,TAGLU H-54,300H546930134450,Delineation Well,Suspended,"69° 23' 19.8""","134° 58' 16.0""",NWT Mackenzie Delta Onshore,02-Dec-76,11-Jan-77,,
1955,IMPERIAL OIL TAGLU N-43,Imperial,Territorial,TAGLU N-43,300N436930134450,Other,Other,"69° 22' 44.9""","134° 56' 30.1""",NWT Mackenzie Delta Onshore,09-Apr-77,13-Apr-77,,
1501,ESSO HOME ET AL TAGLU WEST H-06,Imperial,Territorial,TAGLU WEST H-06,300H066930135000,Exploratory Well,Abandoned,"69° 25' 24.2""","135° 0' 39.6""",NWT Mackenzie Delta Onshore,26-Mar-85,05-Sep-85,,
667,ESSO TAGLU WEST P-03,Imperial,Territorial,TAGLU WEST P-03,300P036930135000,Delineation Well,Suspended,"69° 22' 54.7""","135° 0' 34.0""",NWT Mackenzie Delta Onshore,12-Dec-71,29-Mar-72,3310,
893,ELF TEXACO TIRITCHIK M-48,Husky,Territorial,TIRITCHIK M-48,300M487250120300,Exploratory Well,Abandoned,"72° 47' 52.8""","120° 44' 58.0""",NWT Arctic Islands Onshore,31-Dec-73,06-Apr-74,,
751,GULF IMP SHELL TITALIK K-26,Uncertain,Territorial,TITALIK K-26,300K266910135000,Exploratory Well,Abandoned,"69° 5' 29.7""","135° 6' 24.8""",NWT Mackenzie Delta Onshore,17-Oct-72,20-Feb-73,,Sold to Shell by ConocoPhillips. Shell would not confirm. Previously considered to be owned by Shell.
995,SHELL GULF IMP TITALIK O-15,Uncertain,Territorial,TITALIK O-15,300O156910135000,Delineation Well,Suspended,"69° 4' 57.7""","135° 3' 21.7""",NWT Mackenzie Delta Onshore,27-Apr-75,16-Aug-75,,"Shell operates as indicated by Conoco. Thought to be 50% Shell, 50% Gulf. Shell confirmed ownership in 2004 ESRF."
923,GULF MOBIL TOAPOLOK H-24,ConocoPhillips,Territorial,TOAPOLOK H-24,300H246920134450,Delineation Well,Abandoned,"69° 13' 17.7""","134° 50' 34.9""",NWT Mackenzie Delta Onshore,21-Apr-74,15-Jun-74,,
882,GULF MOBIL TOAPOLOK O-54,ConocoPhillips,Territorial,TOAPOLOK O-54,300O546920134450,Exploratory Well,Abandoned,"69° 13' 57.2""","134° 58' 40.8""",NWT Mackenzie Delta Onshore,27-Nov-73,01-Apr-74,,
1941,DEVON PC TUK B-02,Canadian Natural Resources,ILA,TUK B-02,300B026930133000,Exploratory Well,Suspended,"69° 21' 11.2""","133° 1' 7.5""",NWT Mackenzie Delta Onshore,17-Feb-02,31-Mar-02,,
1563,ESSO PCI HOME ET AL TUK B-40,Imperial,ILA,TUK B-40,300B406920133000,Delineation Well,Suspended,"69° 19' 13.6""","133° 8' 29.7""",NWT Mackenzie Delta Onshore,08-Dec-85,09-Jan-86,,
1763,ESSO PCI HOME ET AL TUK E-20,Imperial,ILA,TUK E-20,300E206920133000,Exploratory Well,Abandoned,"69° 19' 18.6""","133° 5' 9.8""",NWT Mackenzie Delta Onshore,25-Jan-91,08-Apr-91,,
419,IOE TUK F-18,Imperial,ILA,TUK F-18,300F186920133000,Exploratory Well,Abandoned,"69° 17' 28.9""","133° 4' 10.9""",NWT Mackenzie Delta Onshore,29-Dec-68,27-Apr-69,,
1562,ESSO PCI HOME ET AL TUK G-39,Imperial,ILA,TUK G-39,300G396920133000,Delineation Well,Suspended,"69° 18' 22.9""","133° 8' 52.8""",NWT Mackenzie Delta Onshore,05-Dec-85,06-Jan-86,,
1581,ESSO PCI HOME ET AL TUK G-48,Imperial,ILA,TUK G-48,300G486920133000,Delineation Well,Suspended,"69° 17' 23.1""","133° 11' 12.0""",NWT Mackenzie Delta Onshore,14-Jan-86,10-Feb-86,,
1508,ESSO PCI HOME ET AL TUK H-30,Imperial,ILA,TUK H-30,300H306920133000,Delineation Well,Suspended,"69° 19' 20.6""","133° 5' 23.7""",NWT Mackenzie Delta Onshore,21-Apr-85,06-May-85,,
1474,ESSO HOME PCI ET AL TUK J-29,Imperial,ILA,TUK J-29,300J296920133000,Exploratory Well,Abandoned,"69° 18' 41.3""","133° 6' 0.2""",NWT Mackenzie Delta Onshore,10-Jan-85,20-Apr-85,,
1342,ESSO PCI HOME ET AL TUK L-09,Imperial,ILA,TUK L-09,300L096920133000,Exploratory Well,Abandoned,"69° 18' 44.5""","133° 2' 22.8""",NWT Mackenzie Delta Onshore,18-Nov-83,06-Mar-84,,
1933,DEVON PC TUK M-18,Canadian Natural Resources,ILA,TUK M-18,300M186920133000,Delineation Well,Suspended,"69° 17' 50.5""","133° 4' 44.5""",NWT Mackenzie Delta Onshore,24-Dec-01,04-Feb-02,,
566,IOE TUKTU O-19,Imperial,ILA,TUKTU O-19,300O196920132450,Exploratory Well,Abandoned,"69° 18' 54.9""","132° 48' 26.8""",NWT Mackenzie Delta Onshore,07-Dec-70,06-Feb-71,,
1561,ESSO PCI HOME ET AL TUKTUK A-12,Imperial,ILA,TUKTUK A-12,300A126930133000,Delineation Well,Abandoned,"69° 21' 1.3""","133° 3' 8.5""",NWT Mackenzie Delta Onshore,02-Dec-85,12-Feb-86,,
1594,ESSO PCI HOME ET AL TUKTUK D-11,Imperial,ILA,TUKTUK D-11,300D116930133000,Delineation Well,Suspended,"69° 20' 11.5""","133° 4' 50.4""",NWT Mackenzie Delta Onshore,07-Feb-86,02-Mar-86,,
1576,ESSO PCI HOME ET AL TUKTUK H-22,Imperial,ILA,TUKTUK H-22,300H226930133000,Delineation Well,Suspended,"69° 21' 21.9""","133° 5' 11.9""",NWT Mackenzie Delta Onshore,11-Jan-86,05-Feb-86,,
1050,SHELL TULLUGAK K-31,Shell,Territorial,TULLUGAK K-31,300K316900135000,Exploratory Well,Abandoned,"68° 50' 29.6""","135° 9' 31.2""",NWT Mackenzie Delta Onshore,18-Oct-76,05-Jan-77,,
1029,GULF IMP SHELL TUNUNUK F-30,ConocoPhillips,ILA,TUNUNUK F-30,300F306900134300,Exploratory Well,Abandoned,"68° 59' 21.7""","134° 36' 52.7""",NWT Mackenzie Delta Onshore,05-Apr-76,06-Jul-76,,
405,IOE BA SHELL TUNUNUK K-10,Imperial,ILA,TUNUNUK K-10,300K106900134450,Exploratory Well,Abandoned,"68° 59' 43.7""","134° 46' 43.6""",NWT Mackenzie Delta Onshore,13-Aug-68,29-Jun-69,,
1025,SHELL ULU A-35,Shell,ILA,ULU A-35,300A356850135450,Exploratory Well,Suspended,"68° 44' 1.5""","135° 53' 6.4""",NWT Mackenzie Delta Onshore,15-Mar-76,22-Sep-76,,
766,IMP UMIAK J-37,Imperial,Territorial,UMIAK J-37,300J376930134150,Exploratory Well,Abandoned,"69° 26' 35.9""","134° 23' 18.1""",NWT Mackenzie Delta Onshore,17-Dec-72,01-Mar-73,,
2018,MGM COP UMIAK N-05,MGM Energy Corp.,Territorial,UMIAK N-05,300N056930134150,Exploratory Well,Suspended,"69° 24' 56.5""","134° 16' 30.1""",NWT Mackenzie Delta Onshore,18-Jan-05,23-Apr-05,,
1070,IMP. IOE UMIAK N-10,Imperial,Territorial,UMIAK N-10,300N106930134150,Exploratory Well,Abandoned,"69° 29' 49.9""","134° 16' 35.1""",NWT Mackenzie Delta Onshore,13-Apr-77,02-Oct-77,,
2000,MGM COP UMIAK N-16,MGM Energy Corp.,,UMIAK N-16,300N166930134150,Exploratory Well,Suspended,"69° 25' 53.0""","134° 19' 5.6""",NWT Mackenzie Delta Onshore,18-Feb-04,23-Apr-04,,
713,ELF UMINMAK H-07,Husky,Territorial,UMINMAK H-07,300H077340123000,Exploratory Well,Abandoned,"73° 36' 30.8""","123° 0' 41.3""",NWT Arctic Islands Onshore,01-Apr-72,07-May-72,,
876,SHELL,Shell,Territorial,UNAK B-11,300B116850135150,Exploratory,Plug and abandoned,"68° 66' 69.1""","135° 31' 57.2""",NWT Mackenzie Delta Onshore,7-Nov-73,17-Mar-74,3345.2,
1623,SHELL ET AL UNAK L-28,Shell,Territorial,UNAK L-28,300L286850135150,Exploratory Well,Abandoned,"68° 47' 38.0""","135° 22' 15.7""",NWT Mackenzie Delta Onshore,11-Aug-86,13-Dec-86,,
1776,SHELL UNIPKAT B-12,Shell,Territorial,UNIPKAT B-12,300B126920135150,Delineation Well,Suspended,"69° 11' 0.5""","135° 18' 34.8""",NWT Mackenzie Delta Onshore,08-Jan-92,10-Feb-92,,
742,SHELL UNIPKAT I-22,Shell,Territorial,UNIPKAT I-22,300I226920135150,Exploratory Well,Suspended,"69° 11' 37.1""","135° 20' 37.3""",NWT Mackenzie Delta Onshore,08-Sep-72,06-Mar-73,,
2044,MGM ET AL UNIPKAT M-45,MGM Energy Corp.,Territorial,UNIPKAT M-45,300M456920135150,Exploratory Well,Abandoned,"69° 14' 55.5""","135° 27' 30.6""",NWT Mackenzie Delta Onshore,14-Mar-07,22-Mar-07,,
1749,SHELL UNIPKAT N-12,Shell,Territorial,UNIPKAT N-12,300N126920135150,Exploratory Well,Suspended,"69° 11' 54.5""","135° 19' 17.5""",NWT Mackenzie Delta Onshore,06-Feb-90,04-Apr-90,,
1059,CCL UPLUK A-42,Chevron,Territorial,UPLUK A-42,300A426930135150,Exploratory Well,Abandoned,"69° 21' 10.7""","135° 25' 44.0""",NWT Mackenzie Delta Onshore,15-Jan-77,02-Apr-77,,
797,CHEVRON SOBC UPLUK C-21,Chevron,Territorial,UPLUK C-21,300C216930135150,Exploratory Well,Abandoned,"69° 20' 5.7""","135° 21' 35.0""",NWT Mackenzie Delta Onshore,16-Feb-73,19-May-73,,
1500,CHEVRON TRILLIUM UPLUK L-42,Chevron,Territorial,UPLUK L-42,300L426930135150,Exploratory Well,Abandoned,"69° 21' 37.5""","135° 27' 39.4""",NWT Mackenzie Delta Onshore,22-Mar-85,20-Jul-85,,
977,CHEVRON SOBC UPLUK M-38,Chevron,Territorial,UPLUK M-38,300M386930135150,Exploratory Well,Abandoned,"69° 46' 55.55""","135° 41' 5""",NWT Mackenzie Delta Onshore,6-Feb-75,4-Mar-75,3764.3,
974,MURPHY ET AL VICTORIA ISLAND F-36,Murphy Oil Company Ltd.,Territorial,VICTORIA ISLAND F-36,300F367250117000,Exploratory Well,Abandoned,"72° 45' 19.9""","117° 11' 22.0""",NWT Arctic Islands Onshore,28-Jan-75,27-Apr-75,,
1033,PANARCTIC TENN ET AL,Suncor,ILA,WEST HECLA C-05,300C057630110300,Delineation,Plug and abandoned,"76° 24' 9.0""","110° 31' 54.8""",NWT Arctic Islands Onshore,28-Apr-76,16-May-76,1237.5,
1030,IMP DELTA 5 WAGNARK C-23,Imperial,ILA,WAGNARK C-23,300C236920133150,Exploratory Well,Abandoned,"69° 12' 0.9""","133° 21' 54.9""",NWT Mackenzie Delta Onshore,07-Apr-76,05-Oct-76,,
833,IMP WAGNARK G-12,Imperial,ILA,WAGNARK G-12,300G126920133150,Exploratory Well,Abandoned,"69° 11' 20.9""","133° 18' 23.8""",NWT Mackenzie Delta Onshore,18-Apr-73,05-Aug-73,,
1609,ESSO HOME ET AL WAGNARK L-36,Imperial,ILA,WAGNARK L-36,300L366920133150,Exploratory Well,Abandoned,"69° 15' 43.4""","133° 25' 3.8""",NWT Mackenzie Delta Onshore,08-Mar-86,25-Apr-86,,
990,ELFEX ET AL WILKIE POINT J-51,Husky,Territorial,WILKIE POINT J-51,300J517640117000,Exploratory Well,Abandoned,"76° 30' 33.5""","117° 19' 59.3""",NWT Arctic Islands Onshore,17-Mar-75,21-May-75,,
554,ELF WILKINS E-60,Husky,Territorial,WILKINS E-60,300E607800111000,Exploratory Well,Abandoned,"77° 59' 22.2""","111° 21' 55.6""",NWT Arctic Islands Onshore,11-Oct-70,20-Jan-71,,
201,DOME ET AL WINTER HARBOUR NO.1(A-09),BP,Territorial,WINTER HARBOUR NO.1(A-09),300A097450110300,Exploratory Well,Abandoned,"74° 48' 8.5""","110° 30' 45.1""",NWT Arctic Islands Onshore,10-Sep-61,07-Apr-62,,
904,UNION WOLVERINE H-34,Chevron,Territorial,WOLVERINE H-34,300H346830130300,Exploratory Well,Abandoned,"68° 23' 19.1""","130° 38' 8.9""",NWT Mainland,05-Feb-74,02-Apr-74,,
909,GULF MOBIL YA-YA A-28,Uncertain,Territorial,YA-YA A-28,300A286920134300,Delineation Well,Suspended,"69° 17' 10.8""","134° 35' 37.0""",NWT Mackenzie Delta Onshore,28-Feb-74,06-Jul-74,,Sold to Shell by ConocoPhillips.
,,,,,,,,,,,,,,Shell would not confirm.
959,GULF MOBIL YA-YA I-17,Uncertain,Territorial,YA-YA I-17,300I176920134300,Delineation Well,Abandoned,"69° 16' 34.8""","134° 32' 59.0""",NWT Mackenzie Delta Onshore,22-Nov-74,11-Jan-75,,Sold to Shell by ConocoPhillips. Shell would not confirm.
958,GULF MOBIL YA-YA M-33,ConocoPhillips,Territorial,YA-YA M-33,300M336920134300,Delineation Well,Abandoned,"69° 12' 56.7""","134° 39' 53.9""",NWT Mackenzie Delta Onshore,22-Nov-74,13-Feb-75,,
760,GULF MOBIL YA-YA P-53,Uncertain,Territorial,YA-YA P-53,300P536920134300,Exploratory Well,Suspended,"69° 12' 45.5""","134° 42' 59.7""",NWT Mackenzie Delta Onshore,08-Dec-72,20-Mar-73,,Sold to Shell by ConocoPhillips. Shell would not confirm.
841,SUNCOR TENNECO ET AL ZEUS F-11,Suncor,Territorial,ZEUS F-11,300F117600113300,Exploratory Well,Abandoned,"75° 50' 25.1""","113° 36' 34.0""",NWT Arctic Islands Onshore,02-May-73,27-May-73,,
